URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,66,34,0.32,0.1,12.4,0.25,5.0600000000000005,12.42,246,969,2.303405572755418,1.0,5.566337719298246
38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,37,0.22,0.17,6.8,0.23,2.8120000000000003,6.79,126,550,2.1563636363636363,7.0,4.733425414364641
39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,35,0.3,0.12,9.6,0.26,3.944,9.59,217,825,2.3842424242424243,3.0,5.36664729808251
40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,66,28,0.4,0.15,6.5,0.22,2.688,6.52,136,626,2.193290734824281,17.0,4.794313369630974
41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,60,27,0.38,0.12,9.4,0.24,3.8560000000000003,9.39,181,751,2.270306258322237,16.0,5.028016009148085
42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,25,0.29,0.13,8.5,0.26,3.504,8.49,146,552,2.2355072463768115,21.0,4.954510993176649
43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.33,0.1,7.1,0.23,2.9320000000000004,7.11,74,327,2.1743119266055047,7.0,5.040322580645161
44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,,,,,0,0,,,
45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,13,0.43,0.15,8.4,0.17,3.4280000000000004,8.43,54,312,2.0288461538461537,2.0,4.734584450402145
46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,65,34,0.31,0.11,11.1,0.22,4.5280000000000005,11.11,202,911,2.221734357848518,11.0,4.822727272727272
47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,50,58,-0.07,0.11,9.0,0.17,3.668,9.04,157,949,2.1211801896733404,1.0,4.977495107632094
48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,23,0.18,0.1,9.9,0.24,4.056,9.9,140,584,2.3904109589041096,10.0,5.467382328654005
49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,29,0.06,0.11,6.8,0.22,2.808,6.82,122,566,2.166077738515901,6.0,4.941129032258065
50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,60,24,0.43,0.13,10.1,0.22,4.128,10.14,145,649,2.3451463790446843,33.0,4.762233736327
